date,TEMP,pH,DO,Cond,NTU,Mn,NH3,P,N
04/11/2024 00:07:12,17,7.97,12.58,762.3,11.3,5.06,0.025,0.035,3.91
04/11/2024 00:14:24,18.1,8.33,10.58,882.8,2.5,5.45,0.04,0.051,7.95
04/11/2024 00:21:36,19.3,7.69,10.42,1175.1,12.5,3.86,0.054,0.042,9.62
04/11/2024 00:28:48,16.2,8.38,12.49,1121.8,15.3,4.32,0.037,0.03,1.92
04/11/2024 00:36:00,19.6,7.86,10.05,923.8,6.9,3.16,0.035,0.059,6.35
04/11/2024 00:43:12,17.5,8.75,14.59,1001.1,5.6,2.84,0.034,0.049,4.49
04/11/2024 00:50:24,16.5,7.83,9.17,987.5,11.1,3.96,0.073,0.051,4.38
04/11/2024 00:57:36,18.5,8.17,11.32,1052.7,13.2,4.6,0.034,0.068,4.27
04/11/2024 01:04:48,17,7.66,9.62,1209.1,38.7,3.25,0.259,0.085,6.68
04/11/2024 01:12:00,19.8,8.69,16,1229.7,13.3,4.97,0.108,0.125,7.05
04/11/2024 01:19:12,17.6,8.98,--,1151.7,1.7,4.73,0.035,0.055,6.06
04/11/2024 01:26:24,14.1,8.32,10.76,417.8,6.7,2.3,0.025,0.005,1.17
04/11/2024 01:33:36,16.3,8.1,9.64,880.9,24.8,4.44,0.419,0.082,5.63
04/11/2024 01:40:48,10.7,8.29,11.92,437.4,2.9,2.27,0.025,0.005,1.3
04/11/2024 01:48:00,13.8,8.11,10.38,500.8,16.3,1.29,0.025,0.005,4.62
04/11/2024 01:55:12,15.4,7.97,9.46,592.8,3.3,1.11,0.025,0.005,5.27
04/11/2024 02:02:24,16.9,8.48,13.67,595.6,8.1,2.7,0.025,0.005,3.84
04/11/2024 02:09:36,14.1,8.29,7.25,547.3,21,0.95,0.025,0.005,11.26
04/11/2024 02:16:48,16.2,8.1,9.31,1073.9,13.3,,0.087,0.056,0.98
04/11/2024 02:24:00,16.4,8.52,15.61,868.9,3.9,3.33,0.047,0.052,1.52
04/11/2024 02:31:12,16.5,9.13,18.84,1568.5,5.4,5.15,0.049,0.058,1.22
04/11/2024 02:38:24,16.6,8.3,9.71,282.6,1.1,1.57,0.025,0.005,1.1
04/11/2024 02:45:36,14.2,8.67,13.9,--,8.5,4.11,0.096,0.114,2
04/11/2024 02:52:48,15.1,8.05,9.61,288.3,5,1.78,0.025,0.005,1.14
04/11/2024 03:00:00,16,8.02,11.73,972.7,0.6,5.59,0.123,0.052,8.98
04/11/2024 03:07:12,14.7,8.83,9.87,1006.2,5.6,3.73,0.025,0.043,2.47
04/11/2024 03:14:24,14.2,8.46,12.28,2642.4,9.9,4.95,0.025,0.058,4.96
04/11/2024 03:21:36,14.5,9.03,16.35,26761.6,18.5,10.86,0.342,0.146,2.26
04/11/2024 03:28:48,14.9,8.42,10.72,37459.5,21.5,2.47,0.759,0.033,1.3
04/11/2024 03:36:00,16,7.83,8.12,33905.1,133.6,8.86,0.685,0.193,1.15
04/11/2024 03:43:12,14.1,8.38,11.33,1783.6,15.6,8.07,0.025,0.098,4.81
04/11/2024 03:50:24,13.6,8.67,9.78,15880.5,33.7,8.43,0.184,0.137,2.34
04/11/2024 03:57:36,14.9,8.79,14.18,1876.2,15.6,6.53,0.044,0.073,4.86
04/11/2024 04:04:48,13.8,8.38,10.66,551.9,2.2,4.36,0.032,0.015,0.99
04/11/2024 04:12:00,13.6,8.24,8.84,515.2,4.3,2.67,0.025,0.015,1.17
04/11/2024 04:19:12,17.3,8.62,11.37,704.9,4.9,2.24,0.025,0.024,8.92
04/11/2024 04:26:24,16.6,8.25,12.82,828.8,12.7,2.28,0.025,0.03,10.58
04/11/2024 04:33:36,16.7,8.75,12.22,750.9,1.4,6.15,0.025,0.021,
04/11/2024 04:40:48,16.1,8.92,18.96,515,5.6,3.37,0.025,0.03,1.24
04/11/2024 04:48:00,17.6,8.48,24.16,621.6,30.1,3.9,0.025,0.036,3.29
04/11/2024 04:55:12,18.7,7.9,8.7,1175.6,13.1,0.55,0.058,0.048,5.66
04/11/2024 05:02:24,19,8.28,11.98,961.2,27.4,1.04,0.025,0.013,6.99
04/11/2024 05:09:36,17,8.32,6.18,1382.8,21.2,6.95,0.104,0.132,7.71
04/11/2024 05:16:48,12,8.87,14.74,561.3,1.8,2.12,0.025,0.014,3.14
04/11/2024 05:24:00,17.5,9.01,15.2,768.5,9.5,4.94,0.047,0.077,1.3
04/11/2024 05:31:12,13.9,9.56,22.07,920.5,7.3,6.84,0.047,0.084,1.19
04/11/2024 05:38:24,12.5,8.17,10.95,497.5,5.5,1.74,0.059,0.029,2.92
04/11/2024 05:45:36,15.2,8.18,11.51,14148.2,1.8,2.6,0.025,0.025,0.77
04/11/2024 05:52:48,16.1,9.04,27.77,12107.5,4.6,8.13,0.125,0.044,2.87
04/11/2024 06:00:00,11.1,8.57,13.41,464.2,2.1,1.12,0.025,0.015,2.28
04/11/2024 06:07:12,13.1,8.44,11.79,776.8,3.8,2.94,0.049,0.014,1.62
04/11/2024 06:14:24,16.5,8.33,10.38,843.1,12.6,2.52,0.051,0.038,3.18
04/11/2024 06:21:36,15.8,8.52,10.01,1127.9,10.5,3.35,0.06,0.032,2.49
04/11/2024 06:28:48,17,7.97,12.58,762.3,11.3,5.12,0.025,0.033,3.34
04/11/2024 06:36:00,18.1,8.33,10.58,882.8,2.5,5.45,0.04,0.051,7.95
04/11/2024 06:43:12,19.3,7.69,10.42,1175.1,12.5,3.64,0.054,0.04,9.18
04/11/2024 06:50:24,16.2,8.38,12.49,1121.8,15.3,4.23,0.037,0.028,1.9
04/11/2024 06:57:36,19.6,7.86,10.05,923.8,6.9,3.87,0.035,0.057,5.93
04/11/2024 07:04:48,17.5,8.75,14.59,1001.1,5.6,2.84,0.034,0.049,4.49
04/11/2024 07:12:00,16.5,7.83,9.17,987.5,11.1,3.02,0.073,0.034,3.86
04/11/2024 07:19:12,18.5,8.17,11.32,1052.7,13.2,4.6,0.034,0.068,4.27
04/11/2024 07:26:24,17,7.66,9.62,1209.1,38.7,3.25,0.259,0.089,6.98
